BookID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B
0545093171,0.42211875,36.772437340619675,6.869177,47598,0.0368463768115942,76,85,129,133,150,182
1435894278,0.56185395,95.49708272053115,5.937352,54697,0.01874468085106383,43,171,200,22,101,171
0545143152,0.72340655,65.70929793971933,6.264026,67230,0.023452685421994884,253,233,144,210,153,71
1442417048,0.70919526,85.16446966616141,4.420806,42374,0.01721301775147929,219,230,91,152,96,29
8499884148,0.8670228,28.0049041688385,5.8461432,36751,0.016073394495412844,226,234,248,240,238,203
0375828095,0.744709,87.56202789481891,5.895374,60905,0.025419354838709676,241,213,92,250,247,237
0394800788,0.5778806,115.48194069117127,5.4541216,48255,0.025449591280653952,211,76,33,251,249,246
0525476261,0.5998084,48.931798669189995,7.282307,45143,0.01436904761904762,115,149,197,213,223,235
0996478302,0.49356663,67.5567403275675,6.1257267,47282,0.021754985754985755,239,202,107,28,35,57
006054452X,0.5795285,64.54320484368698,7.7646723,73290,0.035696594427244585,235,234,211,111,92,79
1934968382,0.6222368,103.03667724605205,6.8502407,82456,0.022369393139841688,252,248,242,183,97,13
044847896X,0.42966333,27.314315696737847,7.081932,36237,0.01160919540229885,108,100,89,166,147,128
0756619718,0.77597463,102.46615762836706,6.9509463,57087,0.019857605177993527,230,235,242,243,219,45
0027164403,0.6750961,132.74898444265088,5.4221144,39851,0.0071983298538622125,253,253,216,242,44,24
0954956710,0.5903712,110.93348502686177,5.5711966,58120,0.013786127167630058,233,134,50,111,190,155
088899429X,0.3327419,81.33464263246148,7.0626693,95095,0.03323155216284987,21,36,93,233,141,65
