ID,Sales Rank,Date,Review Score,Review Count
0803739834,99403.0,"August 18, 2015",4.76,64
1589258495,57810.0,"March 1, 2010",4.66,55
0340516240,1119136.0,"March 15, 1990",5.0,7
1416999620,35592.0,"April 3, 2012",4.7,102
0395349222,53104.0,"October 24, 1983",4.75,79
1583304533,5390157.0,"December 1, 2000",5.0,1
1495413500,1100109.0,"April 14, 2014",4.95,20
1604991461,571725.0,"May 1, 2009",4.37,141
0021988102,834722.0,2009,4.7,10
0545208629,2067378.0,"March 1, 2011",4.51,12
0152242007,2543563.0,"September 1, 2001",4.56,18
0060835516,274324.0,"July 28, 2009",4.71,21
0817255613,2125314.0,"September 1, 1998",0.0,0
1402773129,43717.0,"June 7, 2011",4.48,19
0395533074,91743.0,"October 28, 1991",4.7,49
0823419738,1371505.0,"February 28, 2007",4.39,8
0991237005,3338236.0,"February 12, 2014",5.0,15
0778713865,1347618.0,"October 1, 2004",5.0,2
1596439491,4872.0,"September 8, 2015",4.87,31
0448478927,57013.0,"April 3, 2014",4.65,48
150070380X,1475041.0,"August 19, 2014",4.39,23
0395137209,44227.0,"October 1, 1987",4.53,99
0756605806,1170855.0,"September 6, 2004",4.43,12
1508768153,5651457.0,"March 6, 2015",4.84,38
1423113470,17590.0,"October 28, 2008",4.87,153
0822571269,3152570.0,"August 1, 2007",5.0,2
1936749513,297712.0,"May 12, 2012",5.0,9
0615473938,3370.0,"August 1, 2008",4.67,656
1599908352,2478239.0,"July 17, 2012",4.67,3
1609054180,1329014.0,"March 25, 2014",4.45,9
0763629324,150577.0,"October 25, 2005",4.56,55
0385379218,13490.0,"October 6, 2015",4.84,69
1596434309,66798.0,"March 17, 2009",4.74,43
037586539X,442408.0,"May 25, 2010",4.79,141
0735821410,3819213.0,"October 1, 2007",4.34,3
192651601X,126254.0,"February 17, 2015",4.56,9
1429653043,3748655.0,"December 1, 2010",2.69,3
0913668419,3681543.0,1975,5.0,2
067001396X,9265.0,"September 1, 2015",4.92,215
0736428593,678053.0,"January 10, 2012",4.49,61
0531153347,1196464.0,"September 1, 1998",4.6,5
0763671673,75193.0,"October 13, 2015",4.88,25
0761356657,478035.0,"January 1, 2010",4.25,4
0761319646,1059068.0,"April 1, 2001",4.0,1
